,ppmi
1	in,19.5112794394
1980s	the,16.0375399367
7	the,18.0312679601
a	a,22.7073401323
a	an,22.7073401323
a	anarchism,22.7073401323
a	anarchist,22.7073401323
a	and,22.7073401323
a	anime,22.7073401323
a	as,22.7073401323
a	at,22.7073401323
a	be,22.7073401323
a	by,22.7073401323
a	for,22.7073401323
a	in,22.7073401323
a	is,22.7073401323
a	it,22.7073401323
a	le,22.7073401323
a	of,22.7073401323
a	on,22.7073401323
a	or,22.7073401323
a	revolution,22.7073401323
a	st,22.7073401323
a	that,22.7073401323
a	the,22.7073401323
a	to,22.7073401323
a	was,22.7073401323
a	with,22.7073401323
able	to,17.264112573
action	a,16.9326556715
all	a,18.6538924726
all	an,18.6538924726
all	of,18.6538924726
all	to,18.6538924726
ally	a,18.0023185701
ally	of,18.0023185701
also	a,17.2943762306
also	an,17.2943762306
also	in,17.2943762306
also	the,17.2943762306
an	a,21.3291683151
an	an,21.3291683151
an	anarchist,21.3291683151
an	and,21.3291683151
an	animation,21.3291683151
an	anime,21.3291683151
an	as,21.3291683151
an	at,21.3291683151
an	for,21.3291683151
an	has,21.3291683151
an	his,21.3291683151
an	in,21.3291683151
an	is,21.3291683151
an	it,21.3291683151
an	of,21.3291683151
an	on,21.3291683151
an	or,21.3291683151
an	that,21.3291683151
an	the,21.3291683151
an	to,21.3291683151
an	was,21.3291683151
an	with,21.3291683151
anarchism	a,18.2515539955
anarchism	an,18.2515539955
anarchism	and,18.2515539955
anarchism	as,18.2515539955
anarchism	in,18.2515539955
anarchism	individual,18.2515539955
anarchism	individualist,18.2515539955
anarchism	is,18.2515539955
anarchism	of,18.2515539955
anarchism	the,18.2515539955
anarchism	with,18.2515539955
anarchist	a,18.7218177366
anarchist	an,18.7218177366
anarchist	and,18.7218177366
anarchist	in,18.7218177366
anarchist	movement,18.7218177366
anarchist	of,18.7218177366
anarchist	the,18.7218177366
anarchists	a,17.5016767846
anarchists	in,17.5016767846
anarchists	of,17.5016767846
anarchists	the,17.5016767846
and	1,20.2405253427
and	2,20.2405253427
and	a,20.2405253427
and	an,20.2405253427
and	anarchism,20.2405253427
and	anarchist,20.2405253427
and	anarchists,20.2405253427
and	and,20.2405253427
and	animation,20.2405253427
and	anime,20.2405253427
and	are,20.2405253427
and	art,20.2405253427
and	as,20.2405253427
and	at,20.2405253427
and	b,20.2405253427
and	be,20.2405253427
and	by,20.2405253427
and	de,20.2405253427
and	economic,20.2405253427
and	for,20.2405253427
and	free,20.2405253427
and	from,20.2405253427
and	he,20.2405253427
and	i,20.2405253427
and	in,20.2405253427
and	individual,20.2405253427
and	is,20.2405253427
and	it,20.2405253427
and	la,20.2405253427
and	movement,20.2405253427
and	of,20.2405253427
and	oil,20.2405253427
and	on,20.2405253427
and	or,20.2405253427
and	over,20.2405253427
and	so,20.2405253427
and	social,20.2405253427
and	that,20.2405253427
and	the,20.2405253427
and	to,20.2405253427
and	was,20.2405253427
and	were,20.2405253427
and	with,20.2405253427
and	work,20.2405253427
animation	a,17.8068265501
animation	an,17.8068265501
animation	in,17.8068265501
animation	of,17.8068265501
animation	the,17.8068265501
anime	a,18.2812845297
anime	an,18.2812845297
anime	and,18.2812845297
anime	in,18.2812845297
anime	is,18.2812845297
anime	of,18.2812845297
anime	the,18.2812845297
anime	to,18.2812845297
any	of,17.4520051748
any	the,17.4520051748
are	a,18.2873268441
are	an,18.2873268441
are	and,18.2873268441
are	in,18.2873268441
are	of,18.2873268441
are	the,18.2873268441
art	a,18.2315848611
art	an,18.2315848611
art	of,18.2315848611
as	1,20.2412370359
as	a,20.2412370359
as	also,20.2412370359
as	an,20.2412370359
as	anarchism,20.2412370359
as	anarchist,20.2412370359
as	and,20.2412370359
as	anime,20.2412370359
as	as,20.2412370359
as	at,20.2412370359
as	be,20.2412370359
as	been,20.2412370359
as	by,20.2412370359
as	first,20.2412370359
as	for,20.2412370359
as	form,20.2412370359
as	in,20.2412370359
as	is,20.2412370359
as	it,20.2412370359
as	known,20.2412370359
as	not,20.2412370359
as	of,20.2412370359
as	on,20.2412370359
as	or,20.2412370359
as	such,20.2412370359
as	that,20.2412370359
as	the,20.2412370359
as	to,20.2412370359
as	use,20.2412370359
as	was,20.2412370359
as	well,20.2412370359
as	which,20.2412370359
as	who,20.2412370359
as	with,20.2412370359
at	a,20.7039396036
at	an,20.7039396036
at	anarchism,20.7039396036
at	and,20.7039396036
at	as,20.7039396036
at	for,20.7039396036
at	in,20.7039396036
at	is,20.7039396036
at	of,20.7039396036
at	on,20.7039396036
at	or,20.7039396036
at	the,20.7039396036
at	to,20.7039396036
at	was,20.7039396036
based	a,16.2356098505
be	a,19.4591622232
be	in,19.4591622232
be	the,19.4591622232
be	to,19.4591622232
became	a,16.808529604
became	the,16.808529604
been	a,17.0075970927
been	has,17.0075970927
before	the,16.1285117149
being	a,16.4074601074
between	a,16.6410749586
but	a,17.7704589059
but	in,17.7704589059
but	the,17.7704589059
by	a,18.4144370627
by	an,18.4144370627
by	and,18.4144370627
by	as,18.4144370627
by	be,18.4144370627
by	de,18.4144370627
by	in,18.4144370627
by	of,18.4144370627
by	the,18.4144370627
by	was,18.4144370627
c	i,21.8097225146
c	of,21.8097225146
came	a,17.1581311321
came	in,17.1581311321
came	the,17.1581311321
can	a,17.394846761
can	an,17.394846761
can	the,17.394846761
cel	a,16.5193780236
central	a,16.4587534018
century	the,16.7259138385
character	a,17.0873620612
collectivist	a,15.7402884133
common	a,16.2356098505
communism	a,16.3740121733
computer	a,16.8216588955
country	the,16.3180535197
day	a,16.5134783015
de	a,19.992987262
de	and,19.992987262
de	in,19.992987262
direct	a,16.4008594234
diverse	a,16.0183085748
during	the,16.8600431385
e	also,22.9035303165
e	m,22.9035303165
early	in,16.7772071329
early	the,16.7772071329
emerged	a,15.5424626699
established	a,16.0279704857
evolution	the,17.8292994059
first	a,17.4816538687
first	an,17.4816538687
first	the,17.4816538687
first	was,17.4816538687
for	a,19.1255474864
for	an,19.1255474864
for	and,19.1255474864
for	in,19.1255474864
for	of,19.1255474864
for	the,19.1255474864
form	a,18.0063159105
form	an,18.0063159105
form	of,18.0063159105
free	a,17.2970825922
from	a,17.9375129906
from	an,17.9375129906
from	of,17.9375129906
from	the,17.9375129906
government	a,16.6253266016
had	a,17.0806730731
has	a,17.8758194216
has	an,17.8758194216
has	been,17.8758194216
has	i,17.8758194216
has	in,17.8758194216
have	a,17.4928271693
have	an,17.4928271693
have	be,17.4928271693
he	a,21.1351971898
he	against,21.1351971898
he	also,21.1351971898
he	an,21.1351971898
he	anarchism,21.1351971898
he	anarchist,21.1351971898
he	and,21.1351971898
he	animation,21.1351971898
he	as,21.1351971898
he	at,21.1351971898
he	be,21.1351971898
he	during,21.1351971898
he	even,21.1351971898
he	for,21.1351971898
he	from,21.1351971898
he	government,21.1351971898
he	had,21.1351971898
he	has,21.1351971898
he	i,21.1351971898
he	in,21.1351971898
he	industry,21.1351971898
he	is,21.1351971898
he	its,21.1351971898
he	movement,21.1351971898
he	not,21.1351971898
he	of,21.1351971898
he	over,21.1351971898
he	revolution,21.1351971898
he	state,21.1351971898
he	that,21.1351971898
he	the,21.1351971898
he	them,21.1351971898
he	this,21.1351971898
he	to,21.1351971898
he	use,21.1351971898
he	was,21.1351971898
he	when,21.1351971898
he	which,21.1351971898
he	with,21.1351971898
he	work,21.1351971898
he	year,21.1351971898
her	of,18.5817631637
her	the,18.5817631637
her	to,18.5817631637
here	in,17.4403635998
here	the,17.4403635998
his	a,19.6803754523
his	and,19.6803754523
his	as,19.6803754523
his	for,19.6803754523
his	in,19.6803754523
his	of,19.6803754523
his	p,19.6803754523
his	the,19.6803754523
his	to,19.6803754523
i	a,22.6219629371
i	and,22.6219629371
i	of,22.6219629371
i	the,22.6219629371
important	an,16.8766410299
important	in,16.8766410299
in	1,21.0813336493
in	2,21.0813336493
in	a,21.0813336493
in	an,21.0813336493
in	anarchism,21.0813336493
in	anarchist,21.0813336493
in	and,21.0813336493
in	animation,21.0813336493
in	anime,21.0813336493
in	are,21.0813336493
in	as,21.0813336493
in	at,21.0813336493
in	be,21.0813336493
in	for,21.0813336493
in	found,21.0813336493
in	his,21.0813336493
in	i,21.0813336493
in	in,21.0813336493
in	individual,21.0813336493
in	is,21.0813336493
in	it,21.0813336493
in	la,21.0813336493
in	of,21.0813336493
in	on,21.0813336493
in	or,21.0813336493
in	that,21.0813336493
in	the,21.0813336493
in	their,21.0813336493
in	to,21.0813336493
in	was,21.0813336493
in	were,21.0813336493
in	which,21.0813336493
in	with,21.0813336493
in	work,21.0813336493
include	a,16.7162983798
including	a,16.8431651007
individual	a,17.555280184
individual	an,17.555280184
individual	the,17.555280184
individualist	a,16.7448717523
individualist	anarchism,16.7448717523
industry	an,16.4461746196
international	a,16.4461746196
is	a,20.7993067883
is	an,20.7993067883
is	anarchism,20.7993067883
is	and,20.7993067883
is	anime,20.7993067883
is	as,20.7993067883
is	de,20.7993067883
is	for,20.7993067883
is	in,20.7993067883
is	is,20.7993067883
is	of,20.7993067883
is	on,20.7993067883
is	that,20.7993067883
is	the,20.7993067883
is	to,20.7993067883
is	was,20.7993067883
it	a,20.2081104081
it	an,20.2081104081
it	and,20.2081104081
it	of,20.2081104081
it	the,20.2081104081
it	was,20.2081104081
its	a,17.8497243108
its	an,17.8497243108
its	and,17.8497243108
its	in,17.8497243108
its	of,17.8497243108
its	the,17.8497243108
its	to,17.8497243108
key	a,16.0840599524
king	a,17.0806730731
known	the,16.8346180401
l	and,21.8416129536
l	of,21.8416129536
l	that,21.8416129536
le	in,19.9575311118
led	a,17.6219042116
led	in,17.6219042116
led	of,17.6219042116
led	the,17.6219042116
less	a,16.3464242168
like	a,16.7542176147
love	free,16.4461746196
m	e,21.5319330425
main	a,16.9519240903
major	a,16.7952256384
major	i,16.7952256384
major	in,16.7952256384
man	a,18.3189500326
manga	and,16.2587769098
many	a,16.9519240903
market	a,16.8766410299
market	the,16.8766410299
more	a,17.0534605095
more	an,17.0534605095
more	in,17.0534605095
most	of,17.0739390409
most	the,17.0739390409
movement	a,17.629686352
movement	anarchist,17.629686352
movement	i,17.629686352
movement	the,17.629686352
movements	a,16.360313329
movements	an,16.360313329
much	a,15.9786994367
national	a,17.6825288334
national	of,17.6825288334
national	the,17.6825288334
new	a,16.5310740634
not	a,17.8497243108
not	an,17.8497243108
not	and,17.8497243108
not	of,17.8497243108
not	the,17.8497243108
not	was,17.8497243108
of	1,20.3994853339
of	20,20.3994853339
of	a,20.3994853339
of	act,20.3994853339
of	all,20.3994853339
of	an,20.3994853339
of	anarchism,20.3994853339
of	anarchist,20.3994853339
of	anarchists,20.3994853339
of	and,20.3994853339
of	animation,20.3994853339
of	anime,20.3994853339
of	as,20.3994853339
of	at,20.3994853339
of	be,20.3994853339
of	by,20.3994853339
of	cent,20.3994853339
of	development,20.3994853339
of	first,20.3994853339
of	for,20.3994853339
of	form,20.3994853339
of	he,20.3994853339
of	his,20.3994853339
of	i,20.3994853339
of	in,20.3994853339
of	individual,20.3994853339
of	is,20.3994853339
of	it,20.3994853339
of	its,20.3994853339
of	la,20.3994853339
of	major,20.3994853339
of	man,20.3994853339
of	most,20.3994853339
of	move,20.3994853339
of	movement,20.3994853339
of	of,20.3994853339
of	on,20.3994853339
of	one,20.3994853339
of	or,20.3994853339
of	other,20.3994853339
of	part,20.3994853339
of	per,20.3994853339
of	pop,20.3994853339
of	product,20.3994853339
of	production,20.3994853339
of	revolution,20.3994853339
of	school,20.3994853339
of	schools,20.3994853339
of	se,20.3994853339
of	social,20.3994853339
of	system,20.3994853339
of	that,20.3994853339
of	the,20.3994853339
of	these,20.3994853339
of	though,20.3994853339
of	thought,20.3994853339
of	to,20.3994853339
of	use,20.3994853339
of	was,20.3994853339
of	were,20.3994853339
of	with,20.3994853339
of	work,20.3994853339
often	a,16.6667833153
oil	a,17.2724575449
oil	an,17.2724575449
oil	and,17.2724575449
oil	in,17.2724575449
on	19,20.9402718022
on	2,20.9402718022
on	a,20.9402718022
